date,cash,market_value,portfolio_value,benchmark_value,strategy_contribution,benchmark_contribution,total_contributed_strategy,total_contributed_benchmark,trade_count
2026-01-02,5000.0,0,5000.0,5000.0,0.0,0.0,5000.0,5000.0,0
2026-01-05,5000.0,0,5000.0,5048.533066089576,0.0,0.0,5000.0,5000.0,0
2026-01-06,5000.0,0,5000.0,5053.917909081651,0.0,0.0,5000.0,5000.0,0
2026-01-07,5000.0,0,5000.0,5077.025762706449,0.0,0.0,5000.0,5000.0,0
2026-01-08,5000.0,0,5000.0,5052.690998629389,0.0,0.0,5000.0,5000.0,0
2026-01-09,5000.0,0,5000.0,5076.889300641905,0.0,0.0,5000.0,5000.0,0
2026-01-12,5000.0,0,5000.0,5091.885566241016,0.0,0.0,5000.0,5000.0,0
2026-01-13,5000.0,0,5000.0,5088.9545441534665,0.0,0.0,5000.0,5000.0,0
2026-01-14,5000.0,0,5000.0,5046.419984303534,0.0,0.0,5000.0,5000.0,0
2026-01-15,5000.0,0,5000.0,5094.066879059331,0.0,0.0,5000.0,5000.0,0
2026-01-16,5000.0,0,5000.0,5079.479583610972,0.0,0.0,5000.0,5000.0,0
2026-01-19,5000.0,0,5000.0,5017.927287686662,0.0,0.0,5000.0,5000.0,0
2026-01-20,5000.0,0,5000.0,5014.586879405479,0.0,0.0,5000.0,5000.0,0
2026-01-21,5000.0,0,5000.0,5011.655857317928,0.0,0.0,5000.0,5000.0,0
2026-01-22,5000.0,0,5000.0,5058.075841621462,0.0,0.0,5000.0,5000.0,0
2026-01-23,5000.0,0,5000.0,5055.96275983542,0.0,0.0,5000.0,5000.0,0
2026-01-26,5000.0,0,5000.0,5079.888553761727,0.0,0.0,5000.0,5000.0,0
2026-01-27,5000.0,0,5000.0,5104.700519021813,0.0,0.0,5000.0,5000.0,0
2026-01-28,5000.0,0,5000.0,5098.224811599142,0.0,0.0,5000.0,5000.0,0
2026-01-29,5000.0,0,5000.0,5044.442948539157,0.0,0.0,5000.0,5000.0,0
2026-01-30,5000.0,0,5000.0,5066.5285848085105,0.0,0.0,5000.0,5000.0,0
2026-02-02,5250.0,0,5250.0,5348.088349534598,250.0,250.0,5250.0,5250.0,0
2026-02-03,5250.0,0,5250.0,5315.62427702986,0.0,0.0,5250.0,5250.0,0
2026-02-04,5250.0,0,5250.0,5286.306534986205,0.0,0.0,5250.0,5250.0,0
2026-02-05,5250.0,0,5250.0,5233.46267320692,0.0,0.0,5250.0,5250.0,0
2026-02-06,5250.0,0,5250.0,5288.952263277934,0.0,0.0,5250.0,5250.0,0
2026-02-09,5250.0,0,5250.0,5341.724548112343,0.0,0.0,5250.0,5250.0,0
2026-02-10,5250.0,0,5250.0,5342.868469896016,0.0,0.0,5250.0,5250.0,0
2026-02-11,5250.0,0,5250.0,5325.635447527336,0.0,0.0,5250.0,5250.0,0
2026-02-12,5250.0,0,5250.0,5267.356975274837,0.0,0.0,5250.0,5250.0,0
2026-02-13,5250.0,0,5250.0,5259.562944289402,0.0,0.0,5250.0,5250.0,0
2026-02-16,5250.0,0,5250.0,5242.401062420813,0.0,0.0,5250.0,5250.0,0
2026-02-17,5250.0,0,5250.0,5242.544216310567,0.0,0.0,5250.0,5250.0,0
2026-02-18,5250.0,0,5250.0,5294.744322030746,0.0,0.0,5250.0,5250.0,0
2026-02-19,5250.0,0,5250.0,5269.573678342092,0.0,0.0,5250.0,5250.0,0
2026-02-20,5250.0,0,5250.0,5283.01705063537,0.0,0.0,5250.0,5250.0,0
2026-02-23,5250.0,0,5250.0,5249.265902457206,0.0,0.0,5250.0,5250.0,0
2026-02-24,5250.0,0,5250.0,5271.933535299099,0.0,0.0,5250.0,5250.0,0
2026-02-25,5250.0,0,5250.0,5317.984133986868,0.0,0.0,5250.0,5250.0,0
2026-02-26,5250.0,0,5250.0,5294.744322030746,0.0,0.0,5250.0,5250.0,0
2026-02-27,5250.0,0,5250.0,5276.081070098886,0.0,0.0,5250.0,5250.0,0
2026-03-02,5500.0,0,5500.0,5507.989560836469,250.0,250.0,5500.0,5500.0,0
2026-03-03,5500.0,0,5500.0,5446.940140126476,0.0,0.0,5500.0,5500.0,0
2026-03-04,5500.0,0,5500.0,5523.0459490849635,0.0,0.0,5500.0,5500.0,0
2026-03-05,5500.0,0,5500.0,5480.498805067195,0.0,0.0,5500.0,5500.0,0
2026-03-09,5500.0,0,5500.0,5404.99238044594,0.0,0.0,5500.0,5500.0,0
2026-03-10,5500.0,0,5500.0,5489.187820573773,0.0,0.0,5500.0,5500.0,0
2026-03-11,5500.0,0,5500.0,5443.8691526411985,0.0,0.0,5500.0,5500.0,0
2026-03-12,5500.0,0,5500.0,5393.081959874413,0.0,0.0,5500.0,5500.0,0
2026-03-13,5500.0,0,5500.0,5350.834736623407,0.0,0.0,5500.0,5500.0,0
2026-03-16,5500.0,0,5500.0,5377.3516642932855,0.0,0.0,5500.0,5500.0,0
2026-03-17,5500.0,0,5500.0,5407.988844935818,0.0,0.0,5500.0,5500.0,0
2026-03-18,5500.0,0,5500.0,5366.939475966697,0.0,0.0,5500.0,5500.0,0
2026-03-19,5500.0,0,5500.0,5298.624291803373,0.0,0.0,5500.0,5500.0,0
2026-03-20,5500.0,0,5500.0,5270.609131888556,0.0,0.0,5500.0,5500.0,0
2026-03-23,5500.0,0,5500.0,5297.1260595584345,0.0,0.0,5500.0,5500.0,0
2026-03-24,5500.0,0,5500.0,5292.856760594981,0.0,0.0,5500.0,5500.0,0
2026-03-25,5500.0,0,5500.0,5314.280064389101,0.0,0.0,5500.0,5500.0,0
2026-03-26,5500.0,0,5500.0,5244.991052126382,0.0,0.0,5500.0,5500.0,0
2026-03-27,5500.0,0,5500.0,5159.896764090844,0.0,0.0,5500.0,5500.0,0
2026-03-30,5500.0,0,5500.0,5151.132311196285,0.0,0.0,5500.0,5500.0,0
2026-03-31,5500.0,0,5500.0,5177.125291916911,0.0,0.0,5500.0,5500.0,0
2026-04-01,5750.0,0,5750.0,5555.29112811576,250.0,250.0,5750.0,5750.0,0
2026-04-02,5750.0,0,5750.0,5536.936690516412,0.0,0.0,5750.0,5750.0,0
2026-04-07,5750.0,0,5750.0,5525.093125692858,0.0,0.0,5750.0,5750.0,0
2026-04-08,5750.0,0,5750.0,5699.693190210592,0.0,0.0,5750.0,5750.0,0
2026-04-09,5750.0,0,5750.0,5729.891671374139,0.0,0.0,5750.0,5750.0,0
2026-04-10,5750.0,0,5750.0,5757.423088402838,0.0,0.0,5750.0,5750.0,0
2026-04-13,5750.0,0,5750.0,5746.598762413083,0.0,0.0,5750.0,5750.0,0
2026-04-14,5750.0,0,5750.0,5856.410376664577,0.0,0.0,5750.0,5750.0,0
2026-04-15,5750.0,0,5750.0,5893.824436833768,0.0,0.0,5750.0,5750.0,0
2026-04-16,5750.0,0,5750.0,5931.081948811954,0.0,0.0,5750.0,5750.0,0
2026-04-17,5750.0,0,5750.0,6014.852944404147,0.0,0.0,5750.0,5750.0,0
2026-04-20,5750.0,0,5750.0,5984.4194015837675,0.0,0.0,5750.0,5750.0,0
2026-04-21,5750.0,0,5750.0,5977.046316905827,0.0,0.0,5750.0,5750.0,0
2026-04-22,5750.0,0,5750.0,5991.949034452714,0.0,0.0,5750.0,5750.0,0
