raw_symbol,resolved_symbol,provider,status,reason,history_rows
AMGN,AMGN,yfinance,ok,resolved,580
AWK,AWK,yfinance,ok,resolved,580
AXP,AXP,yfinance,ok,resolved,580
B,B,yfinance,ok,resolved,580
BA,BA,yfinance,ok,resolved,580
BR,BR,yfinance,ok,resolved,580
C,C,yfinance,ok,resolved,580
CARR,CARR,yfinance,ok,resolved,580
CASY,CASY,yfinance,ok,resolved,580
CSCO,CSCO,yfinance,ok,resolved,580
DMLP,DMLP,yfinance,ok,resolved,580
EPD,EPD,yfinance,ok,resolved,580
FDX,FDX,yfinance,ok,resolved,580
FMAO,FMAO,yfinance,ok,resolved,580
GE,GE,yfinance,ok,resolved,580
GEHC,GEHC,yfinance,ok,resolved,580
GLW,GLW,yfinance,ok,resolved,580
GS,GS,yfinance,ok,resolved,580
HON,HON,yfinance,ok,resolved,580
IBIT,IBIT,yfinance,ok,resolved,573
IE00B5BMR087,CSPX.L,yfinance,ok,resolved,584
MU,MU,yfinance,ok,resolved,580
NVDA,NVDA,yfinance,ok,resolved,580
NVR,NVR,yfinance,ok,resolved,580
PTON,PTON,yfinance,ok,resolved,580
RH,RH,yfinance,ok,resolved,580
SBUX,SBUX,yfinance,ok,resolved,580
SPY,SPY,yfinance,ok,resolved,580
TPR,TPR,yfinance,ok,resolved,580
TSM,TSM,yfinance,ok,resolved,580
UHAL,UHAL,yfinance,ok,resolved,580
ULTA,ULTA,yfinance,ok,resolved,580
URI,URI,yfinance,ok,resolved,580
VG,VG,yfinance,ok,resolved,314
VOO,VOO,yfinance,ok,resolved,580
VZ,VZ,yfinance,ok,resolved,580
WHR,WHR,yfinance,ok,resolved,580
